object,algorithm,success_rate,average_reward,mean_inference_time_sec,mae,mse,rmse,itae,training_time_sec
cube,SAC,0.0,-1534.8019292970134,0.00042214811580896036,0.18214691238752226,0.05546980766051219,0.23552029139866523,1276.1068356697886,13108.221274250012
cube,PPO,0.0,-865.8723719933841,0.00036967155771950883,0.5632105894588253,0.3204903949806773,0.5661187110321273,6372.072165906694,10132.146494333021
