object,algorithm,success_rate,average_reward,mean_inference_time_sec,mae,mse,rmse,itae,training_time_sec
cube,SAC,0.0,-509.8258573846816,0.0003929498039748675,0.3309001204246012,0.11995952817653506,0.3463517405420898,3609.335311178633,14247.055948583002
cube,PPO,0.0,-579.7011194056904,0.00036341738057672047,0.4867394657065179,0.2427587932105067,0.49270558471617376,5512.541114054138,10473.176653959003
